id,date,amount,merchant,description,category
4233,2025-05-04,50.21,Fox-Phillips,Electric bill payment,Bills
4234,2025-03-18,7.22,Electric Company,Electric Company - Course fee,Bills
4235,2025-06-18,16.99,Lyft,Online purchase,Transport
4236,2025-11-02,7.58,Gas Station,Prescription purchase,Bills
4237,2024-12-23,98.37,Spotify,Spotify - Monthly subscription,Entertainment
4238,2025-08-07,2.46,Netflix Streaming,Monthly subscription,Entertainment
4239,2026-07-03,17.45,Todd-Powell,Todd-Powell - Online purchase,Entertainment
4240,2026-04-04,13.54,George-Patton,George-Patton - Prescription purchase,Utilities
4241,2023-11-19,27.0,Electric Company,Electric Company - Electric bill payment,Bills
4242,2023-11-05,3.19,CVS Pharmacy,Online purchase,Health
4243,2024-03-20,3.2,"Williams, Martin and Taylor","Williams, Martin and Taylor - Online purchase",Food
4244,2026-02-09,40.31,Mall Outlet,Mall Outlet - Electric bill payment,Bills
4245,2026-06-28,73.62,Mall Outlet,Gas refill,Bills
4246,2026-06-09,32.63,Starbucks Coffee,Online purchase,Travel
4247,2026-02-23,81.02,Lyft,Grocery shopping,Transport
4248,2024-05-08,38.45,Uber Eats,Gas refill,Transport
4249,2025-12-20,13.39,Walmart Supercenter,Electric bill payment,Shopping
4250,2025-07-09,64.5,Ross-Robbins,Ross-Robbins - Monthly subscription,Others
4251,2026-03-21,4.54,CVS Pharmacy,CVS Pharmacy - Flight booking,Health
4252,2023-09-14,32.8,"Cochran, Phillips and Dunlap",Grocery shopping,Entertainment
4253,2023-08-31,82.7,Uber Eats,Online purchase,Transport
4254,2024-06-13,41.49,Huffman Group,Huffman Group - Course fee,Shopping
4255,2024-03-08,79.88,"Hampton, Beard and Davis","Hampton, Beard and Davis - Taxi ride",Utilities
4256,2025-05-27,20.76,Elliott-Griffith,Flight booking,Entertainment
4257,2024-08-15,3.42,Cooper-Scott,Lunch with friends,Others
4258,2023-09-18,48.74,Waterworks,Waterworks - Course fee,Bills
4259,2024-02-11,9.28,Oconnor-Cooper,Hotel stay,Travel
4260,2025-09-10,22.86,"Gordon, Martinez and Flores",Monthly subscription,Utilities
4261,2023-09-18,47.63,Waterworks,Prescription purchase,Bills
4262,2025-05-06,26.45,Mccall and Sons,Gas refill,Bills
4263,2024-11-04,14.52,Gas Station,Gas Station - Hotel stay,Travel
4264,2025-12-03,106.75,Monroe-Mosley,Gas refill,Bills
4265,2024-08-22,22.19,Electric Company,Online purchase,Bills
4266,2023-10-11,14.5,"Brown, Sims and Johnson","Brown, Sims and Johnson - Electric bill payment",Bills
4267,2025-11-25,105.57,Ruiz Group,Ruiz Group - Gas refill,Bills
4268,2025-02-10,23.88,"Ali, Hernandez and Hendrix",Grocery shopping,Utilities
4269,2024-10-11,4.03,CVS Pharmacy,Flight booking,Health
4270,2024-10-03,84.12,City Hospital,City Hospital - Prescription purchase,Transport
4271,2024-03-10,26.93,Starbucks Coffee,Electric bill payment,Bills
4272,2024-05-08,9.02,Joe's Pizza,Joe's Pizza - Taxi ride,Food
4273,2024-04-16,86.09,Patterson Group,Patterson Group - Online purchase,Transport
4274,2023-09-03,7.46,Netflix Streaming,Hotel stay,Travel
4275,2024-09-12,91.89,Chapman-Henderson,Flight booking,Shopping
4276,2023-12-30,34.43,Gas Station,Gas Station - Course fee,Bills
4277,2023-11-07,5.12,Joe's Pizza,Grocery shopping,Food
4278,2025-07-18,55.35,"Russell, Alvarez and Carr",Online purchase,Entertainment
4279,2024-02-03,42.17,CVS Pharmacy,CVS Pharmacy - Grocery shopping,Health
4280,2024-07-07,33.25,Local High School,Local High School - Course fee,Education
4281,2026-05-31,6.46,State University,Electric bill payment,Education
4282,2026-04-08,60.81,Gas Station,Gas Station - Hotel stay,Travel
4283,2024-11-14,10.53,Hilton Hotels,Prescription purchase,Travel
4284,2026-07-18,101.91,State University,State University - Monthly subscription,Education
4285,2024-08-07,8.15,Corner Grocery,Corner Grocery - Lunch with friends,Shopping
4286,2024-03-17,3.83,Local Taxi,Monthly subscription,Education
4287,2025-01-26,25.86,Mall Outlet,Mall Outlet - Lunch with friends,Shopping
4288,2025-06-09,1.51,State University,State University - Prescription purchase,Education
4289,2026-04-12,115.05,Local High School,Prescription purchase,Education
4290,2024-06-25,2.37,Beck-Turner,Beck-Turner - Online purchase,Utilities
4291,2026-07-13,3.63,Electric Company,Hotel stay,Travel
4292,2024-08-06,64.9,"Brown, Prince and Hammond","Brown, Prince and Hammond - Hotel stay",Travel
4293,2024-02-18,2.55,Local Taxi,Local Taxi - Prescription purchase,Utilities
4294,2024-07-31,105.27,Electric Company,Hotel stay,Travel
4295,2024-10-26,8.77,Mall Outlet,Mall Outlet - Online purchase,Others
4296,2024-02-24,19.12,CVS Pharmacy,CVS Pharmacy - Monthly subscription,Health
4297,2025-04-02,14.84,"Farmer, Fleming and Roberts",Gas refill,Bills
4298,2025-06-28,25.24,Lyft,Lyft - Course fee,Transport
4299,2025-02-25,16.0,Green Group,Green Group - Monthly subscription,Bills
4300,2023-11-13,12.0,Corner Grocery,Course fee,Travel
4301,2024-01-19,38.45,Spotify,Taxi ride,Entertainment
4302,2026-01-18,33.21,Tucker-West,Tucker-West - Course fee,Bills
4303,2026-05-23,28.69,Uber Eats,Uber Eats - Monthly subscription,Transport
4304,2025-11-02,81.51,"Klein, Chen and Harper","Klein, Chen and Harper - Flight booking",Food
4305,2024-01-22,38.7,Joe's Pizza,Joe's Pizza - Prescription purchase,Food
4306,2025-06-05,219.2,Corner Grocery,Course fee,Health
4307,2025-05-07,6.1,Local High School,Local High School - Prescription purchase,Education
4308,2025-08-29,22.58,Netflix Streaming,Netflix Streaming - Taxi ride,Entertainment
4309,2025-07-01,27.73,Anderson Inc,Gas refill,Bills
4310,2025-01-25,11.37,"Castillo, Green and Martinez","Castillo, Green and Martinez - Electric bill payment",Bills
4311,2026-05-24,19.59,CVS Pharmacy,Gas refill,Health
4312,2025-01-17,26.22,Hilton Hotels,Flight booking,Travel
4313,2026-04-28,1.15,Amazon Marketplace,Amazon Marketplace - Prescription purchase,Shopping
4314,2024-10-03,57.88,Local High School,Gas refill,Education
4315,2025-11-26,29.04,"Page, Hoffman and Chaney","Page, Hoffman and Chaney - Grocery shopping",Others
4316,2025-12-12,2.01,Browning-Cruz,Grocery shopping,Health
4317,2024-10-28,16.46,Walmart Supercenter,Walmart Supercenter - Grocery shopping,Shopping
4318,2026-03-26,15.24,Uber Eats,Uber Eats - Taxi ride,Transport
4319,2026-01-10,15.08,"Boyer, Davis and Ward",Taxi ride,Shopping
4320,2024-03-11,56.26,City Hospital,City Hospital - Grocery shopping,Entertainment
4321,2025-11-30,23.33,Hilton Hotels,Hilton Hotels - Prescription purchase,Travel
4322,2024-11-03,6.25,Electric Company,Electric Company - Online purchase,Bills
4323,2025-08-19,31.02,Reed-Williams,Reed-Williams - Monthly subscription,Others
4324,2026-03-07,25.99,Gas Station,Monthly subscription,Bills
4325,2025-07-29,3.29,"Knapp, Gutierrez and Alexander","Knapp, Gutierrez and Alexander - Gas refill",Bills
4326,2024-10-20,59.44,Hilton Hotels,Hilton Hotels - Monthly subscription,Travel
4327,2023-11-01,28.65,Mall Outlet,Mall Outlet - Hotel stay,Travel
4328,2024-02-04,21.67,"Williams, Powell and Jackson",Flight booking,Food
4329,2025-09-28,45.04,Delta Airlines,Course fee,Travel
4330,2025-04-20,49.91,Mall Outlet,Hotel stay,Travel
4331,2026-08-12,14.65,"Ortiz, Austin and Cooper","Ortiz, Austin and Cooper - Taxi ride",Others
4332,2024-12-25,29.23,Rodgers Group,Taxi ride,Transport
4333,2025-11-10,67.8,Hilton Hotels,Grocery shopping,Travel
4334,2024-04-15,21.86,City Hospital,City Hospital - Online purchase,Travel
4335,2023-12-28,7.0,"Fischer, Christensen and Knight",Lunch with friends,Food
4336,2025-08-07,13.07,Richardson-Barber,Richardson-Barber - Hotel stay,Travel
4337,2025-03-26,18.29,Hilton Hotels,Hilton Hotels - Hotel stay,Travel
4338,2025-04-22,30.01,Hilton Hotels,Hilton Hotels - Lunch with friends,Travel
4339,2026-08-06,7.44,"Smith, Lopez and Moore","Smith, Lopez and Moore - Online purchase",Entertainment
4340,2026-04-03,8.82,Uber Eats,Uber Eats - Flight booking,Transport
4341,2024-01-25,6.86,State University,State University - Hotel stay,Travel
4342,2025-05-12,96.62,Lyft,Lyft - Lunch with friends,Transport
4343,2026-01-14,21.8,Roberts PLC,Roberts PLC - Online purchase,Food
4344,2024-02-04,16.29,Mall Outlet,Flight booking,Food
4345,2023-11-28,23.06,"Harris, Shepard and Thompson","Harris, Shepard and Thompson - Grocery shopping",Bills
4346,2024-03-30,64.05,"Paul, Delacruz and Evans",Monthly subscription,Shopping
4347,2026-03-17,19.19,Hutchinson LLC,Hutchinson LLC - Taxi ride,Others
4348,2023-09-08,17.07,Gas Station,Gas Station - Course fee,Bills
4349,2024-05-19,21.67,Brown-Sanders,Grocery shopping,Shopping
4350,2025-12-13,17.27,Local Taxi,Local Taxi - Course fee,Shopping
4351,2025-05-31,21.96,Hilton Hotels,Hilton Hotels - Grocery shopping,Travel
4352,2023-12-08,194.51,Greene-Wagner,Greene-Wagner - Lunch with friends,Shopping
4353,2024-12-12,6.41,Netflix Streaming,Grocery shopping,Entertainment
4354,2024-09-02,2.18,Local High School,Course fee,Education
4355,2026-08-11,14.0,Electric Company,Electric Company - Online purchase,Bills
4356,2025-09-28,10.86,Joe's Pizza,Joe's Pizza - Monthly subscription,Food
4357,2024-05-14,39.69,Mall Outlet,Mall Outlet - Gas refill,Bills
4358,2024-05-18,10.78,City Hospital,City Hospital - Hotel stay,Travel
4359,2025-04-30,22.57,Lyft,Lyft - Taxi ride,Transport
4360,2026-06-07,7.09,Spotify,Online purchase,Entertainment
4361,2024-05-22,3.08,"Hansen, Waters and Boyer",Lunch with friends,Bills
4362,2026-08-24,16.59,Shields Ltd,Shields Ltd - Monthly subscription,Food
4363,2026-01-09,33.53,Martinez-Rodriguez,Martinez-Rodriguez - Taxi ride,Travel
4364,2023-12-03,6.87,Uber Eats,Flight booking,Transport
4365,2023-09-17,64.77,Electric Company,Grocery shopping,Bills
4366,2024-08-24,17.63,Perez Group,Course fee,Transport
4367,2025-06-16,8.51,Uber Eats,Grocery shopping,Transport
4368,2024-06-02,58.37,Gas Station,Gas Station - Electric bill payment,Bills
4369,2024-09-16,15.78,Joe's Pizza,Joe's Pizza - Flight booking,Food
4370,2024-10-22,67.89,"Taylor, Fischer and Jones","Taylor, Fischer and Jones - Online purchase",Travel
4371,2025-02-09,2.85,Aguirre Group,Aguirre Group - Gas refill,Bills
4372,2026-01-28,16.72,Garrison-Perez,Garrison-Perez - Online purchase,Others
4373,2024-07-11,61.08,Mall Outlet,Gas refill,Bills
4374,2024-04-23,16.62,Grimes and Sons,Grimes and Sons - Electric bill payment,Bills
4375,2025-04-04,79.3,Uber Eats,Uber Eats - Course fee,Transport
4376,2024-12-17,9.57,"Rodriguez, Marshall and Mayer","Rodriguez, Marshall and Mayer - Prescription purchase",Travel
4377,2024-03-25,88.55,Delta Airlines,Delta Airlines - Course fee,Travel
4378,2026-06-16,33.94,City Hospital,City Hospital - Monthly subscription,Travel
4379,2025-03-01,52.22,City Hospital,City Hospital - Course fee,Others
4380,2026-01-09,13.5,Anderson-Martin,Anderson-Martin - Course fee,Utilities
4381,2024-11-22,65.39,Amazon Marketplace,Amazon Marketplace - Grocery shopping,Shopping
4382,2025-06-28,5.14,Zimmerman-Johnson,Zimmerman-Johnson - Monthly subscription,Food
4383,2026-02-03,4.82,Lyft,Lyft - Course fee,Transport
4384,2024-03-21,6.32,Mall Outlet,Hotel stay,Travel
4385,2026-08-28,35.53,Local Taxi,Hotel stay,Travel
4386,2024-02-12,35.89,City Hospital,Taxi ride,Utilities
4387,2024-07-27,28.12,Electric Company,Electric Company - Lunch with friends,Bills
4388,2026-03-02,40.47,"Newton, Ryan and Owens",Electric bill payment,Bills
4389,2025-10-28,43.06,CVS Pharmacy,CVS Pharmacy - Lunch with friends,Health
4390,2025-06-14,10.6,Hilton Hotels,Hilton Hotels - Grocery shopping,Travel
4391,2024-04-07,1.91,Uber Eats,Uber Eats - Lunch with friends,Transport
4392,2023-08-31,15.93,Gas Station,Gas Station - Course fee,Bills
4393,2024-01-26,4.67,Local Taxi,Local Taxi - Hotel stay,Travel
4394,2026-06-15,10.57,Local High School,Local High School - Electric bill payment,Education
4395,2023-12-15,30.47,"Brown, Anderson and Lloyd",Taxi ride,Others
4396,2024-09-14,1.04,Jones and Sons,Monthly subscription,Food
4397,2023-09-15,25.22,Waterworks,Waterworks - Grocery shopping,Bills
4398,2025-07-05,31.62,"Warner, Shaffer and Chase","Warner, Shaffer and Chase - Taxi ride",Food
4399,2026-06-18,2.84,Corner Grocery,Corner Grocery - Electric bill payment,Bills
4400,2024-04-19,21.11,Electric Company,Electric Company - Online purchase,Bills
4401,2024-01-23,67.97,Stanton-Smith,Monthly subscription,Bills
4402,2024-08-09,27.49,Corner Grocery,Corner Grocery - Online purchase,Travel
4403,2026-05-01,39.88,Waterworks,Waterworks - Taxi ride,Bills
4404,2024-10-05,85.61,Lopez-Benjamin,Lopez-Benjamin - Taxi ride,Food
4405,2023-11-19,167.24,Nelson LLC,Nelson LLC - Course fee,Food
4406,2025-08-29,72.1,Young Group,Young Group - Gas refill,Bills
4407,2025-01-02,15.18,Amazon Marketplace,Hotel stay,Travel
4408,2025-05-29,73.58,Lyft,Grocery shopping,Transport
4409,2023-09-14,29.91,Netflix Streaming,Prescription purchase,Entertainment
4410,2023-10-21,37.65,Hall Group,Hall Group - Monthly subscription,Travel
4411,2024-01-08,105.32,"Horne, Woods and Ball","Horne, Woods and Ball - Course fee",Others
4412,2024-09-13,2.1,Cunningham-Ross,Cunningham-Ross - Prescription purchase,Travel
4413,2024-09-02,7.17,Electric Company,Electric Company - Electric bill payment,Bills
4414,2026-06-25,2.63,Lyft,Lyft - Taxi ride,Transport
4415,2025-08-20,19.41,Local High School,Local High School - Monthly subscription,Education
4416,2025-07-15,7.02,Levine and Sons,Levine and Sons - Taxi ride,Health
4417,2026-06-11,47.47,Hilton Hotels,Lunch with friends,Travel
4418,2024-04-17,32.43,Floyd-Holmes,Floyd-Holmes - Prescription purchase,Shopping
4419,2025-03-31,20.93,Starbucks Coffee,Gas refill,Bills
4420,2024-08-06,21.45,Starbucks Coffee,Starbucks Coffee - Online purchase,Shopping
4421,2025-02-21,32.3,Netflix Streaming,Hotel stay,Travel
4422,2025-06-07,5.16,State University,Gas refill,Education
4423,2023-12-03,65.08,Local High School,Local High School - Taxi ride,Education
4424,2024-10-14,39.19,City Hospital,Taxi ride,Others
4425,2025-09-06,61.8,Berry PLC,Hotel stay,Travel
4426,2023-09-24,33.6,State University,State University - Online purchase,Education
4427,2026-07-20,60.85,Green-Hart,Green-Hart - Gas refill,Bills
4428,2025-03-03,14.65,Walmart Supercenter,Walmart Supercenter - Gas refill,Shopping
4429,2024-11-15,12.56,Netflix Streaming,Netflix Streaming - Prescription purchase,Entertainment
4430,2026-02-23,11.36,Netflix Streaming,Prescription purchase,Entertainment
4431,2026-08-10,8.49,Ward PLC,Ward PLC - Monthly subscription,Entertainment
4432,2026-01-26,57.92,Electric Company,Grocery shopping,Bills
4433,2026-07-28,22.63,Joe's Pizza,Joe's Pizza - Prescription purchase,Food
4434,2023-12-26,17.65,Electric Company,Hotel stay,Travel
4435,2025-09-11,60.16,Stone-Wright,Gas refill,Bills
4436,2024-03-09,39.36,Delta Airlines,Delta Airlines - Flight booking,Travel
4437,2025-12-12,18.89,Joe's Pizza,Grocery shopping,Food
4438,2024-03-30,20.97,Hilton Hotels,Hilton Hotels - Online purchase,Travel
4439,2024-07-31,15.96,Stuart LLC,Stuart LLC - Monthly subscription,Travel
4440,2023-11-21,10.77,Mitchell Group,Mitchell Group - Online purchase,Travel
4441,2023-10-09,48.35,Lyft,Lyft - Online purchase,Transport
4442,2026-06-24,3.87,Walmart Supercenter,Walmart Supercenter - Monthly subscription,Shopping
4443,2025-04-19,4.32,Netflix Streaming,Monthly subscription,Entertainment
4444,2024-10-13,5.75,Waterworks,Waterworks - Online purchase,Bills
4445,2024-08-02,7.67,Local Taxi,Local Taxi - Flight booking,Transport
4446,2024-03-07,6.99,Electric Company,Flight booking,Bills
4447,2025-07-21,39.92,Walmart Supercenter,Hotel stay,Travel
4448,2026-06-08,9.9,Joe's Pizza,Joe's Pizza - Course fee,Food
4449,2025-12-06,5.23,Rodgers Group,Rodgers Group - Grocery shopping,Others
4450,2026-08-18,17.76,Joe's Pizza,Flight booking,Food
4451,2025-08-02,52.87,Rodriguez-Allison,Lunch with friends,Food
4452,2024-10-19,21.94,Neal-Davis,Taxi ride,Entertainment
4453,2026-08-02,78.74,"Russell, Hall and Diaz",Lunch with friends,Bills
4454,2024-04-22,13.61,Local Taxi,Gas refill,Bills
4455,2024-09-26,15.96,Stanley-Giles,Stanley-Giles - Grocery shopping,Health
4456,2025-08-11,59.68,State University,Grocery shopping,Education
4457,2025-05-23,60.27,Gas Station,Gas Station - Prescription purchase,Bills
4458,2024-12-30,29.42,"Durham, Zimmerman and Bright",Electric bill payment,Bills
4459,2024-06-01,9.54,"Simmons, Wilkins and Swanson","Simmons, Wilkins and Swanson - Flight booking",Travel
4460,2026-04-02,35.5,Barton LLC,Online purchase,Food
4461,2024-03-06,28.8,Turner-Jones,Turner-Jones - Course fee,Education
4462,2025-05-30,24.66,Delta Airlines,Online purchase,Travel
4463,2024-05-02,31.36,"Miller, Norris and Barnes","Miller, Norris and Barnes - Course fee",Others
4464,2023-10-31,24.62,City Hospital,City Hospital - Monthly subscription,Health
4465,2024-12-02,5.41,Booker and Sons,Flight booking,Utilities
4466,2023-11-05,5.58,Hilton Hotels,Hilton Hotels - Gas refill,Travel
4467,2025-12-24,33.56,Netflix Streaming,Hotel stay,Travel
4468,2024-07-30,106.98,CVS Pharmacy,Gas refill,Health
4469,2025-03-16,2.14,Corner Grocery,Corner Grocery - Electric bill payment,Bills
4470,2023-11-21,43.41,Local High School,Local High School - Taxi ride,Education
4471,2025-04-24,28.91,Starbucks Coffee,Starbucks Coffee - Prescription purchase,Food
4472,2024-08-31,81.09,Gas Station,Gas Station - Electric bill payment,Bills
4473,2025-10-21,10.89,Joe's Pizza,Online purchase,Food
4474,2024-08-23,6.19,Reynolds and Sons,Reynolds and Sons - Lunch with friends,Bills
4475,2024-07-10,3.39,Mall Outlet,Lunch with friends,Travel
4476,2026-04-05,12.27,Uber Eats,Uber Eats - Electric bill payment,Transport
4477,2024-12-19,8.65,Corner Grocery,Corner Grocery - Online purchase,Shopping
4478,2025-05-16,24.35,Uber Eats,Uber Eats - Lunch with friends,Transport
4479,2025-06-11,7.48,"Wagner, Wright and Wood",Monthly subscription,Food
4480,2026-03-27,22.73,Mall Outlet,Mall Outlet - Taxi ride,Education
4481,2025-09-27,111.34,Corner Grocery,Taxi ride,Utilities
4482,2023-09-10,53.22,Electric Company,Gas refill,Bills
4483,2026-07-18,20.02,Lyft,Lyft - Monthly subscription,Transport
4484,2024-05-05,79.58,Local Taxi,Local Taxi - Electric bill payment,Bills
4485,2024-12-03,7.52,Delta Airlines,Grocery shopping,Travel
4486,2026-02-09,59.83,"Rogers, Gutierrez and Kane","Rogers, Gutierrez and Kane - Online purchase",Others
4487,2023-10-31,3.77,Delta Airlines,Online purchase,Travel
4488,2025-10-13,21.91,Corner Grocery,Electric bill payment,Bills
4489,2026-05-01,19.78,Mall Outlet,Mall Outlet - Prescription purchase,Entertainment
4490,2026-07-15,2.27,Lyft,Lyft - Grocery shopping,Transport
4491,2024-09-13,27.07,Joe's Pizza,Joe's Pizza - Gas refill,Food
4492,2025-02-05,67.4,Uber Eats,Uber Eats - Taxi ride,Transport
4493,2025-10-12,57.96,Gas Station,Gas Station - Hotel stay,Travel
4494,2026-08-13,38.41,Uber Eats,Uber Eats - Prescription purchase,Transport
4495,2024-07-21,31.5,Thompson Inc,Thompson Inc - Course fee,Transport
4496,2024-06-30,2.96,Lopez and Sons,Lopez and Sons - Monthly subscription,Education
4497,2025-01-21,89.9,"Williams, Brown and Clark",Grocery shopping,Food
4498,2025-09-24,13.08,Rodriguez and Sons,Hotel stay,Travel
4499,2025-08-31,49.38,Gas Station,Lunch with friends,Bills
4500,2024-06-05,9.73,Lyft,Lyft - Hotel stay,Transport
4501,2025-09-21,4.74,Delta Airlines,Online purchase,Travel
4502,2024-09-22,52.58,Spotify,Spotify - Electric bill payment,Entertainment
4503,2026-01-04,37.84,Corner Grocery,Corner Grocery - Flight booking,Food
4504,2025-11-02,23.05,Local High School,Local High School - Monthly subscription,Education
4505,2023-12-11,3.95,Lyft,Lyft - Gas refill,Transport
4506,2023-11-15,9.08,Amazon Marketplace,Amazon Marketplace - Flight booking,Shopping
4507,2024-08-14,116.95,CVS Pharmacy,CVS Pharmacy - Course fee,Health
4508,2024-11-06,135.91,Local Taxi,Local Taxi - Course fee,Travel
4509,2025-08-04,14.57,Amazon Marketplace,Amazon Marketplace - Flight booking,Shopping
4510,2025-12-09,131.66,Lin-Petty,Taxi ride,Health
4511,2023-09-03,24.63,Local High School,Local High School - Flight booking,Education
4512,2026-04-12,8.25,Waterworks,Waterworks - Prescription purchase,Bills
4513,2025-11-28,16.63,"Bush, Harper and Black","Bush, Harper and Black - Electric bill payment",Bills
4514,2025-01-08,13.6,Starbucks Coffee,Starbucks Coffee - Lunch with friends,Entertainment
4515,2024-12-23,9.86,Meyer Inc,Grocery shopping,Others
4516,2025-12-27,2.66,Walmart Supercenter,Flight booking,Shopping
4517,2024-08-21,7.14,Tran Ltd,Hotel stay,Travel
4518,2024-12-01,165.4,Flowers-Carpenter,Electric bill payment,Bills
4519,2025-03-21,7.22,West Group,West Group - Flight booking,Shopping
4520,2024-10-22,18.52,Gas Station,Grocery shopping,Bills
4521,2025-11-20,58.04,Mall Outlet,Mall Outlet - Prescription purchase,Travel
4522,2023-11-10,29.23,Electric Company,Course fee,Bills
4523,2024-09-13,18.91,Starbucks Coffee,Starbucks Coffee - Electric bill payment,Bills
4524,2025-02-15,39.71,Spotify,Spotify - Prescription purchase,Entertainment
4525,2026-07-21,24.25,Mall Outlet,Gas refill,Bills
4526,2024-04-26,107.69,Brewer and Sons,Brewer and Sons - Course fee,Utilities
4527,2026-06-27,27.66,Barber and Sons,Barber and Sons - Monthly subscription,Transport
4528,2025-11-14,5.31,Delta Airlines,Delta Airlines - Monthly subscription,Travel
4529,2024-06-27,13.51,Joe's Pizza,Joe's Pizza - Electric bill payment,Food
4530,2024-03-16,18.46,Rodriguez PLC,Taxi ride,Shopping
4531,2026-03-14,126.52,Local Taxi,Local Taxi - Gas refill,Bills
4532,2025-07-09,46.94,Amazon Marketplace,Amazon Marketplace - Taxi ride,Shopping
4533,2025-11-21,11.3,Lyft,Prescription purchase,Transport
4534,2023-11-26,58.7,Delta Airlines,Delta Airlines - Electric bill payment,Travel
4535,2024-05-25,6.87,Swanson LLC,Swanson LLC - Taxi ride,Shopping
4536,2025-02-22,1.73,Velazquez-Pratt,Velazquez-Pratt - Gas refill,Bills
4537,2024-08-17,12.17,"Shaw, Hill and Orozco",Lunch with friends,Others
4538,2024-11-05,78.14,Delta Airlines,Delta Airlines - Flight booking,Travel
4539,2025-10-18,31.92,Netflix Streaming,Netflix Streaming - Grocery shopping,Entertainment
4540,2025-06-09,4.14,Walmart Supercenter,Walmart Supercenter - Monthly subscription,Shopping
4541,2026-02-07,16.83,CVS Pharmacy,Gas refill,Health
4542,2023-10-05,7.88,Uber Eats,Uber Eats - Monthly subscription,Transport
4543,2026-01-15,73.41,CVS Pharmacy,CVS Pharmacy - Taxi ride,Health
4544,2024-10-04,32.13,Brown Inc,Monthly subscription,Travel
4545,2026-06-21,82.58,Local High School,Local High School - Taxi ride,Education
4546,2024-06-30,32.71,City Hospital,City Hospital - Course fee,Shopping
4547,2023-08-31,30.1,Starbucks Coffee,Starbucks Coffee - Prescription purchase,Bills
4548,2026-07-20,13.8,Boyd PLC,Boyd PLC - Taxi ride,Others
4549,2023-12-26,5.38,Salas-Mckinney,Salas-Mckinney - Online purchase,Transport
4550,2024-12-19,1.73,Delta Airlines,Monthly subscription,Travel
4551,2025-09-21,35.75,"Diaz, Reed and House",Lunch with friends,Health
4552,2026-02-11,50.86,Waterworks,Hotel stay,Travel
4553,2024-05-21,32.36,"Wilson, Chen and Oliver","Wilson, Chen and Oliver - Grocery shopping",Others
4554,2025-04-15,17.09,Lyft,Lyft - Online purchase,Transport
4555,2025-05-18,14.63,Gas Station,Gas Station - Electric bill payment,Bills
4556,2026-03-23,83.42,City Hospital,Gas refill,Bills
4557,2024-07-13,26.07,Hamilton-Copeland,Hamilton-Copeland - Lunch with friends,Shopping
4558,2025-01-26,43.04,Walmart Supercenter,Walmart Supercenter - Taxi ride,Shopping
4559,2023-08-30,17.31,Electric Company,Electric Company - Lunch with friends,Bills
4560,2023-12-11,6.69,Waters-Hanson,Waters-Hanson - Taxi ride,Bills
4561,2025-04-06,106.64,Local Taxi,Local Taxi - Hotel stay,Travel
4562,2025-07-06,6.68,"Day, Bryan and Roberts",Monthly subscription,Transport
4563,2024-11-05,16.67,Local Taxi,Local Taxi - Electric bill payment,Bills
4564,2024-10-14,76.07,Gas Station,Gas refill,Bills
4565,2025-09-18,1.17,Gas Station,Gas Station - Hotel stay,Travel
4566,2026-08-08,1.13,Turner-Graham,Turner-Graham - Prescription purchase,Health
4567,2023-12-24,62.69,"Thomas, Hanna and Garza","Thomas, Hanna and Garza - Hotel stay",Travel
4568,2025-02-17,39.84,Local High School,Flight booking,Education
4569,2024-07-23,20.53,Netflix Streaming,Netflix Streaming - Course fee,Entertainment
4570,2023-12-09,1.97,Lyft,Lyft - Course fee,Transport
4571,2026-01-25,32.1,Powers and Sons,Prescription purchase,Utilities
4572,2024-06-06,34.42,Uber Eats,Uber Eats - Monthly subscription,Transport
4573,2025-09-03,56.49,Walmart Supercenter,Walmart Supercenter - Monthly subscription,Shopping
4574,2023-09-24,61.89,Starbucks Coffee,Starbucks Coffee - Taxi ride,Bills
4575,2026-02-23,75.91,"Robertson, Richardson and Porter","Robertson, Richardson and Porter - Lunch with friends",Utilities
4576,2024-12-13,2.89,Netflix Streaming,Netflix Streaming - Online purchase,Entertainment
4577,2026-08-13,10.84,Local High School,Local High School - Course fee,Education
4578,2024-04-02,7.65,Electric Company,Electric bill payment,Bills
4579,2026-01-10,19.8,Netflix Streaming,Netflix Streaming - Grocery shopping,Entertainment
4580,2025-03-26,46.84,Flowers-Golden,Online purchase,Shopping
4581,2024-10-15,12.66,Amazon Marketplace,Flight booking,Shopping
4582,2023-09-16,33.25,State University,Lunch with friends,Education
4583,2024-08-17,71.52,Johnson-Higgins,Johnson-Higgins - Prescription purchase,Bills
4584,2024-04-08,97.49,Norris-Perez,Norris-Perez - Gas refill,Bills
4585,2025-12-17,30.32,"Gray, Harvey and Barber",Grocery shopping,Travel
4586,2025-06-13,16.76,City Hospital,City Hospital - Lunch with friends,Others
4587,2024-12-31,9.42,State University,Electric bill payment,Education
4588,2026-03-27,4.17,Willis Inc,Monthly subscription,Health
4589,2024-06-17,15.22,Delta Airlines,Hotel stay,Travel
4590,2024-03-25,80.32,Local Taxi,Local Taxi - Online purchase,Entertainment
4591,2025-07-05,6.6,Delta Airlines,Delta Airlines - Taxi ride,Travel
4592,2023-12-20,9.74,Local Taxi,Gas refill,Bills
4593,2026-06-08,4.51,Corner Grocery,Online purchase,Food
4594,2024-10-17,2.86,Pineda-Jones,Hotel stay,Travel
4595,2025-03-06,64.75,Briggs-Moore,Taxi ride,Food
4596,2024-08-25,87.4,Moore and Sons,Moore and Sons - Electric bill payment,Bills
